,C,D,BN,AN,W
09-22,-1.81834710437592,0.94264462651176,6.1847461525128695,5.20396693338528,8.77487601828096
09-23,-0.7611570235116001,0.85933884152808,5.746304594809645,5.12132230542528,9.68396692584096
09-24,-2.03603305442256,-0.5201652883802401,3.945218411301943,6.75438015391488,18.40396691115648
09-25,-0.49438016445672006,1.1033057832659998,1.705147576821566,4.51520660396664,5.4750413130940805
09-26,1.4573553694466401,1.4449586752526398,1.846186537623017,4.0479338774808005,11.693223120804477
09-27,0.3188429746696799,-2.94892561486872,2.0492798076470056,6.856033046305679,13.97818179464256
09-28,-0.63570247826832,-0.9699173537385599,4.0757496979770504,7.08165288063648,13.316363613938881
09-29,-0.7765289243121598,-2.6509090864449596,4.65421486819536,3.3752066058863996,6.37553717934624
09-30,-1.3309090886678399,-0.35636363576352,6.75231403821588,4.7669421407328,12.32677683874584
10-01,-0.3877685943883199,3.73438015900056,5.39123966034264,4.27173552999648,0.8185123953158397
10-02,2.20016528555112,3.8276032993394398,5.93272726273656,3.06181817666208,0.7398347094979201
10-03,1.9259504099798403,5.5561983377508,4.0933884228588,2.68826445828288,1.8095867738121603
10-04,0.9114049571428801,3.7487603242655996,4.70132230613256,3.4485950355148796,4.0793388361056
10-05,-1.28479338626616,1.68049586493864,3.68528924999232,5.42280990822336,4.83107437202976
10-06,-0.8558677671537601,3.8191735472875195,9.819917338835161,5.21851238790624,2.21752065742272
10-07,-2.2185123929582398,2.509289251972705,8.63727271272756,4.196694207808799,4.24661156309664
10-08,-2.6181818137728,1.6496528897839677,5.34582643727862,2.694214871496,1.1054545435929601
10-09,-2.70793387973736,3.2906776804089124,-8.79223139015256,1.20628098970416,3.73685949783936
10-10,-2.13917355011664,4.180958670645215,5.46099172634088,-0.62082644523552,0.22148760293280004
10-11,0.6694214864760002,5.50561982543928,4.582809909637919,-0.4595041314576,3.03603305273856
10-12,-0.3285123961409999,9.407603289942717,6.1663636259794785,3.6396694153583997,5.7487603208976
10-13,-0.32578512341832,1.56793388165712,7.494297508040761,3.01289255690976,0.06479338832063997
10-14,0.8960330563423198,-0.32702479283771985,10.19181816465516,-1.36727272497024,-0.1406060603692807
10-15,1.6705785095834398,0.3862809910850399,10.69165287455724,-0.33652892505312,2.6087052297667204
10-16,0.9639669405254399,-0.33173553663143995,9.624545438337721,-1.13256198156384,1.96958677354272
10-17,-0.04909090900823987,1.0636363618451996,8.56884296077668,-1.8909090877247998,6.31933883233344
10-18,0.2335537186149601,1.63338842700144,8.786033043055559,-0.36628099111872,10.91030301193008
10-19,-3.59603305179552,1.4161983447225601,4.322727265447801,2.70016528470912,13.69961430199872
10-20,-3.81966941505528,0.9639669405254399,5.38809916448016,1.4803305760195202,9.602314033416478
10-21,-5.20661156148,-0.9396694199051999,7.291983458794679,6.98776858327392,7.58699723240256
10-22,-4.09884296830416,-0.27471074333904005,5.0473140410871,9.05190081120288,2.105234156234401
10-23,-1.7990082614332799,1.50644627845488,5.6470041227218495,-2.14809916993632,0.5520661147728
10-24,-2.516528921382,3.5052892502954394,5.86566114714702,6.8495867653248,3.27206611019232
10-25,-3.15099173023092,3.3942148703171995,6.272747923320989,2.59239668984928,6.1073278134067195
10-26,-4.0284297452822395,2.19272726903472,4.1005785054913195,0.24727272685631974,10.137961415434559
10-27,0.15818181791543995,0.5047933875796802,5.536115693156519,8.025123953427839,8.26247932492896
10-28,-0.7155371888776798,0.87818181670296,5.408429742958321,6.1157024690399995,13.418181795585598
