,FOL_tas,ORO_tas,SHA_tas
2091-01-07,275.6657,278.83865,278.55148
2091-01-08,276.1252,279.50024,279.33313
2091-01-09,278.95786,280.64642,279.32272
2091-01-10,279.7358,281.4094,280.02826
2091-01-11,278.9958,280.1135,278.2728
2091-01-12,273.17435,276.2629,276.7685
2091-01-13,275.76132,277.22778,277.19592
2091-01-14,278.71597,277.8071,277.0469
2091-01-15,277.85843,279.79077,279.26218
2091-01-16,278.2776,280.5221,280.17398
2091-01-17,275.00974,279.6329,280.5289
2091-01-18,277.45502,280.77063,281.48883
2091-01-19,279.00803,281.45114,280.76105
2091-01-20,277.94333,281.73584,278.26407
2091-01-21,280.4501,284.54465,280.74368
2091-01-22,278.90494,283.25934,283.3058
2091-01-23,279.85532,281.85062,282.31543
2091-01-24,278.787,280.53836,280.3792
2091-01-25,276.07965,279.18332,279.08154
2091-01-26,278.10516,280.67548,281.49637
2091-01-27,278.14154,280.6963,280.12714
2091-01-28,278.6405,282.43124,281.51187
2091-01-29,278.91516,280.88565,281.2644
2091-01-30,278.06213,280.50607,280.217
2091-01-31,280.9526,282.8751,281.31128
2091-02-01,282.66608,283.66388,280.63113
2091-02-02,280.979,282.10028,281.50998
2091-02-03,280.10065,281.36948,281.46872
2091-02-04,276.60825,279.66577,280.86856
2091-02-05,276.20007,280.60812,281.4442
2091-02-06,277.34927,281.7326,282.4523
2091-02-07,278.2141,281.81195,283.2231
2091-02-08,279.28064,283.4612,285.4963
2091-02-09,278.4153,281.76746,282.30853
2091-02-10,280.06714,282.24103,282.23108
2091-02-11,281.5631,284.08844,284.65823
2091-02-12,284.05496,286.31085,285.07947
2091-02-13,286.609,288.07776,284.24664
2091-02-14,284.50653,288.1578,285.8024
2091-02-15,278.39047,281.05905,283.41373
2091-02-16,277.68286,281.23645,283.1392
2091-02-17,279.68155,281.7237,282.3502
2091-02-18,279.76062,282.24286,281.9985
2091-02-19,280.42465,282.86804,282.75244
2091-02-20,282.3148,283.35587,283.38116
2091-02-21,279.67242,281.64502,281.99768
2091-02-22,280.42514,282.4391,281.7333
2091-02-23,284.2599,286.45007,284.31323
2091-02-24,283.9518,285.6539,284.61588
2091-02-25,280.89658,282.53738,282.67407
2091-02-26,276.6928,279.4453,281.2118
2091-02-27,279.95712,283.75833,284.24
2091-02-28,284.2165,286.5093,286.95355
2091-03-01,283.45605,284.8167,285.42188
2091-03-02,280.39966,283.0326,283.03726
2091-03-03,281.2315,283.02014,282.83542
2091-03-04,281.61847,283.76038,283.11667
2091-03-05,282.7222,285.69186,284.95752
2091-03-06,283.61478,286.3712,285.59186
2091-03-07,282.8182,286.2221,286.6422
2091-03-08,283.75256,288.3223,288.29123
2091-03-09,284.8424,289.09222,289.22827
2091-03-10,288.00354,290.68155,290.8516
2091-03-11,289.45828,292.21964,292.21228
2091-03-12,290.7463,292.62976,292.9317
2091-03-13,292.06912,293.59454,292.98462
2091-03-14,292.32404,294.1533,294.21918
2091-03-15,292.57196,294.98517,294.61545
2091-03-16,294.2638,295.7793,296.16953
2091-03-17,294.1452,296.54718,296.34256
2091-03-18,294.60236,296.13025,296.62048
2091-03-19,293.39447,293.31116,291.20117
2091-03-20,285.6715,288.9887,286.90402
2091-03-21,280.37744,281.7966,282.83463
2091-03-22,282.90366,282.99817,282.90613
2091-03-23,281.21924,284.0122,283.44318
2091-03-24,283.79926,285.07693,284.5228
2091-03-25,287.57043,288.89426,287.61758
2091-03-26,287.96844,289.3715,287.03473
2091-03-27,287.79135,290.21686,288.99902
2091-03-28,288.23932,290.5935,289.4039
2091-03-29,288.40015,290.70306,289.29538
2091-03-30,289.68634,292.0138,289.1586
2091-03-31,290.46222,289.54663,288.1513
2091-04-01,288.75287,289.123,288.22964
2091-04-02,287.0269,289.61755,289.0052
2091-04-03,284.85284,286.44992,286.61517
2091-04-04,279.61172,283.368,283.79797
2091-04-05,279.9762,282.55664,283.75293
2091-04-06,281.81256,284.29996,284.58768
2091-04-07,281.65894,283.75232,284.95197
2091-04-08,285.05392,286.64627,286.93268
2091-04-09,289.05222,290.8471,290.3407
2091-04-10,287.62415,290.22418,288.9707
2091-04-11,283.08325,286.88733,287.1047
2091-04-12,284.90784,287.56644,288.2922
2091-04-13,286.0377,288.61404,288.5747
2091-04-14,286.5017,289.43817,288.3824
2091-04-15,287.32532,288.90332,287.7484
2091-04-16,287.81396,289.15887,287.9679
2091-04-17,288.10663,288.8933,287.69214
2091-04-18,287.00378,289.0665,287.0118
2091-04-19,287.92023,289.51453,288.631
2091-04-20,288.6413,290.68134,289.57928
2091-04-21,288.23483,290.3248,288.77747
2091-04-22,285.34985,287.89505,287.11545
2091-04-23,281.3674,285.13892,285.5439
2091-04-24,284.16165,286.9748,287.9359
2091-04-25,285.06653,287.89215,288.40878
2091-04-26,285.80972,287.84506,288.001
2091-04-27,286.74725,288.95282,288.62054
2091-04-28,287.4111,290.20502,288.68802
2091-04-29,291.45084,294.02444,294.34064
2091-04-30,292.53348,294.92267,294.04938
2091-05-01,290.3877,291.9263,290.56494
2091-05-02,290.30774,292.44144,290.76178
2091-05-03,291.4755,294.7854,294.53027
2091-05-04,292.9154,295.8734,296.2684
2091-05-05,291.89862,294.0782,292.37112
2091-05-06,291.25702,291.39197,290.66885
2091-05-07,288.4328,288.67493,288.34445
2091-05-08,289.11295,290.58136,289.61475
2091-05-09,294.13794,294.03336,292.26404
2091-05-10,296.73105,296.11417,294.36862
2091-05-11,299.6285,300.72482,300.0045
2091-05-12,298.7223,301.86743,302.32907
2091-05-13,295.1249,299.19122,298.35205
2091-05-14,295.83594,298.6379,295.94226
2091-05-15,298.6162,300.3461,297.9673
2091-05-16,300.23505,301.89316,300.2372
2091-05-17,301.22513,298.76654,296.7493
2091-05-18,300.82486,297.2354,295.7179
2091-05-19,296.09143,295.13446,292.9029
2091-05-20,291.22906,291.2854,290.68155
2091-05-21,285.90842,287.0544,287.55746
2091-05-22,285.32416,286.42657,285.6172
2091-05-23,284.3415,286.1429,286.98938
2091-05-24,283.20294,284.9671,285.89304
2091-05-25,284.14218,286.32666,287.7846
2091-05-26,282.33725,284.25134,284.73874
2091-05-27,284.8612,285.7741,286.33945
2091-05-28,287.3238,287.7341,287.29904
2091-05-29,288.21786,287.74265,287.93277
2091-05-30,289.81702,289.67328,289.54095
2091-05-31,288.84375,289.063,289.37222
2091-06-01,286.6003,287.983,288.57117
2091-06-02,287.05344,288.7446,289.49142
2091-06-03,288.40634,290.36554,289.66412
2091-06-04,285.29907,287.08914,287.45065
2091-06-05,287.15643,289.5291,290.46674
2091-06-06,289.10004,289.952,289.69943
2091-06-07,291.73236,292.91373,293.517
2091-06-08,292.53622,294.05963,294.03632
2091-06-09,289.71423,291.6294,291.88284
2091-06-10,284.82214,287.33197,287.6939
2091-06-11,286.65808,286.69305,287.71347
2091-06-12,286.20386,286.7567,287.5029
2091-06-13,284.55585,286.35956,286.51135
2091-06-14,285.26712,286.6161,287.586
2091-06-15,286.84872,287.96643,288.23975
2091-06-16,286.27133,287.50244,287.5162
2091-06-17,286.61487,288.06555,288.26422
2091-06-18,288.1378,289.45398,289.9265
2091-06-19,288.10953,290.09167,289.9876
2091-06-20,289.0796,290.70068,290.7133
2091-06-21,291.5048,292.088,291.1225
2091-06-22,290.3748,291.50528,290.49908
2091-06-23,287.88824,288.8626,288.27133
2091-06-24,286.12524,289.21414,288.65387
2091-06-25,286.2462,287.97305,289.39172
