         5404811 function calls (5345084 primitive calls) in 5.299 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7145    0.004    0.000    0.017    0.000 {built-in method builtins.any}
        4    0.004    0.001    0.004    0.001 {method 'close' of '_io.TextIOWrapper' objects}
    15405    0.004    0.000    0.004    0.000 sre_parse.py:232(__next)
      756    0.004    0.000    0.128    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     2603    0.004    0.000    0.004    0.000 {method 'copy' of 'numpy.ndarray' objects}
     7178    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
     1512    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
     8842    0.004    0.000    0.020    0.000 common.py:475(is_categorical_dtype)
     1175    0.004    0.000    0.005    0.000 version.py:343(_cmpkey)
     8086    0.004    0.000    0.010    0.000 nanops.py:56(<genexpr>)
     8943    0.004    0.000    0.006    0.000 inference.py:364(is_hashable)
     9553    0.004    0.000    0.013    0.000 common.py:333(is_datetime64tz_dtype)
     8788    0.004    0.000    0.005    0.000 parser.py:308(jump)
     2241    0.004    0.000    0.004    0.000 _validators.py:113(_check_for_invalid_keys)
     2323    0.004    0.000    0.014    0.000 {method 'any' of 'numpy.generic' objects}
     1890    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       21    0.004    0.000    0.004    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
     9944    0.004    0.000    0.004    0.000 enum.py:515(__new__)
     8921    0.004    0.000    0.004    0.000 config.py:528(_select_options)
     1792    0.004    0.000    0.057    0.000 generic.py:1640(_get_item_cache)
     9854    0.004    0.000    0.005    0.000 base.py:3360(_maybe_cast_indexer)
     5274    0.004    0.000    0.034    0.000 {method 'all' of 'numpy.ndarray' objects}
     1673    0.004    0.000    0.004    0.000 {built-in method numpy.core.multiarray.empty}
      624    0.004    0.000    0.025    0.000 base.py:3707(_evaluate_compare)
     4856    0.004    0.000    1.125    0.000 inference.py:101(is_iterator)
     9186    0.004    0.000    0.004    0.000 series.py:310(_set_subtyp)
     8890    0.004    0.000    0.009    0.000 config.py:602(_warn_if_deprecated)
     5229    0.004    0.000    0.005    0.000 base.py:502(is_)
     4226    0.004    0.000    0.033    0.000 common.py:1334(needs_i8_conversion)
    34994    0.004    0.000    0.004    0.000 {method 'isspace' of 'str' objects}
     8968    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
     3595    0.003    0.000    0.003    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
   1207/7    0.003    0.000    0.818    0.117 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
        4    0.003    0.001    0.003    0.001 {built-in method _posixsubprocess.fork_exec}
      348    0.003    0.000    0.018    0.000 missing.py:119(_isnull_ndarraylike)
        1    0.003    0.003    0.611    0.611 forecasting.py:51(get_forecast_WYI)
     9106    0.003    0.000    0.004    0.000 common.py:435(_apply_if_callable)
      893    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     1216    0.003    0.000    0.081    0.000 generic.py:6328(stat_func)
    35006    0.003    0.000    0.003    0.000 {method 'isdigit' of 'str' objects}
    13611    0.003    0.000    0.007    0.000 sre_parse.py:253(get)
     9958    0.003    0.000    0.010    0.000 enum.py:265(__call__)
     7510    0.003    0.000    0.003    0.000 base.py:522(_reset_identity)
     2566    0.003    0.000    0.008    0.000 fromnumeric.py:1380(ravel)
        5    0.003    0.001    0.003    0.001 {method 'readlines' of '_io._IOBase' objects}
     2563    0.003    0.000    0.014    0.000 function.py:38(__call__)
      273    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
     2241    0.003    0.000    0.004    0.000 _validators.py:31(_check_for_default_values)
     1109    0.003    0.000    0.077    0.000 generic.py:6348(stat_func)
     1096    0.003    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
     8025    0.003    0.000    0.018    0.000 common.py:117(is_sparse)
     1180    0.003    0.000    0.010    0.000 version.py:131(_legacy_cmpkey)
    905/8    0.003    0.000    0.816    0.102 <frozen importlib._bootstrap>:651(_load_unlocked)
     1890    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
     5234    0.003    0.000    0.005    0.000 version.py:114(_parse_version_parts)
     2241    0.003    0.000    0.011    0.000 _validators.py:129(validate_kwargs)
     2287    0.003    0.000    0.033    0.000 series.py:2911(_try_cast)
     5761    0.003    0.000    0.006    0.000 nanops.py:48(check)
      924    0.003    0.000    0.005    0.000 indexing.py:1446(_is_scalar_access)
     1109    0.003    0.000    0.005    0.000 linalg.py:139(_commonType)
    13601    0.003    0.000    0.003    0.000 datetimes.py:1542(_get_freq)
     2054    0.003    0.000    0.010    0.000 base.py:1672(__getitem__)
     1521    0.003    0.000    0.005    0.000 posixpath.py:73(join)
     7938    0.003    0.000    0.003    0.000 forecasting.py:9(WYI_to_WYT)
     1890    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
     1109    0.003    0.000    0.080    0.000 fromnumeric.py:2912(std)
     1283    0.003    0.000    0.006    0.000 base.py:367(_simple_new)
     1109    0.003    0.000    0.009    0.000 fromnumeric.py:1730(sum)
     2797    0.003    0.000    0.004    0.000 generic.py:342(_get_axis_number)
     1348    0.003    0.000    0.024    0.000 internals.py:3583(get)
     1109    0.003    0.000    0.077    0.000 fromnumeric.py:2806(mean)
       13    0.003    0.000    0.003    0.000 internals.py:4473(_stack_arrays)
     7011    0.003    0.000    0.025    0.000 series.py:471(__array__)
     1850    0.003    0.000    0.010    0.000 internals.py:214(make_block_same_class)
     2816    0.003    0.000    0.003    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      349    0.003    0.000    0.009    0.000 internals.py:672(setitem)
     6176    0.003    0.000    0.003    0.000 {built-in method pandas._libs.tslib.maybe_get_tz}
     2277    0.003    0.000    0.003    0.000 cast.py:759(maybe_castable)
     7938    0.003    0.000    0.005    0.000 series.py:2342(<lambda>)
     2218    0.003    0.000    0.003    0.000 {built-in method numpy.core.multiarray._fastCopyAndTranspose}
     8921    0.003    0.000    0.005    0.000 config.py:589(_translate_key)
     4743    0.003    0.000    0.004    0.000 datetimelike.py:306(freqstr)
    10143    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
      926    0.002    0.000    0.051    0.000 indexing.py:1317(__getitem__)
      349    0.002    0.000    0.078    0.000 indexing.py:495(setter)
    16091    0.002    0.000    0.002    0.000 {built-in method pandas._libs.lib.is_float}
     8519    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
    10710    0.002    0.000    0.002    0.000 internals.py:4185(index)
      310    0.002    0.000    0.010    0.000 __init__.py:1594(_get)
     3833    0.002    0.000    0.007    0.000 base.py:559(values)
      342    0.002    0.000    0.005    0.000 inspect.py:2092(_signature_from_function)
    10887    0.002    0.000    0.002    0.000 {built-in method builtins.hash}
 1934/865    0.002    0.000    0.003    0.000 sre_parse.py:173(getwidth)
     1149    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
     2738    0.002    0.000    0.003    0.000 generic.py:355(_get_axis_name)
     4438    0.002    0.000    0.004    0.000 generic.py:416(_info_axis)
     5274    0.002    0.000    0.030    0.000 _methods.py:40(_all)
     2325    0.002    0.000    0.009    0.000 nanops.py:138(_bn_ok_dtype)
    11184    0.002    0.000    0.002    0.000 internals.py:185(mgr_locs)
      538    0.002    0.000    0.004    0.000 {built-in method numpy.core.multiarray.putmask}
     2904    0.002    0.000    0.023    0.000 missing.py:47(_isnull_new)
     4743    0.002    0.000    0.012    0.000 common.py:406(is_period_dtype)
      660    0.002    0.000    0.018    0.000 textwrap.py:414(dedent)
     3905    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(parent)
     2741    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
    17717    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
     1348    0.002    0.000    0.025    0.000 frame.py:2305(_box_item_values)
      700    0.002    0.000    0.059    0.000 indexing.py:1133(_convert_to_indexer)
      804    0.002    0.000    0.076    0.000 __init__.py:2108(distributions_from_metadata)
     4878    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     1682    0.002    0.000    0.034    0.000 __init__.py:2683(_get_metadata)
      789    0.002    0.000    0.018    0.000 offsets.py:1145(apply)
      510    0.002    0.000    0.037    0.000 datetimes.py:63(f)
      162    0.002    0.000    0.005    0.000 internals.py:2876(_rebuild_blknos_and_blklocs)
     5171    0.002    0.000    0.004    0.000 base.py:3999(_ensure_index)
      666    0.002    0.000    0.003    0.000 inspect.py:2710(__init__)
       95    0.002    0.000    0.063    0.001 _distn_infrastructure.py:1484(__init__)
    10714    0.002    0.000    0.002    0.000 {built-in method pandas._libs.lib.is_integer}
     2016    0.002    0.000    0.019    0.000 common.py:1549(is_extension_type)
      874    0.002    0.000    0.029    0.000 frame.py:1940(__getitem__)
     1096    0.002    0.000    0.021    0.000 common.py:1223(is_datetimelike_v_numeric)
     1139    0.002    0.000    0.004    0.000 dtypes.py:241(construct_from_string)
      402    0.002    0.000    0.060    0.000 __init__.py:2538(from_location)
