         7588802 function calls (7357347 primitive calls) in 5.749 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      175    0.001    0.000    0.001    0.000 sre_compile.py:378(<listcomp>)
      602    0.001    0.000    0.002    0.000 pyparsing.py:732(copy)
      804    0.001    0.000    0.001    0.000 genericpath.py:117(_splitext)
      150    0.001    0.000    0.035    0.000 {built-in method builtins.sorted}
     1813    0.001    0.000    0.001    0.000 pyparsing.py:186(__init__)
      186    0.001    0.000    0.068    0.000 __init__.py:2990(__init__)
      956    0.001    0.000    0.002    0.000 pyparsing.py:2666(parseImpl)
     1327    0.001    0.000    0.011    0.000 genericpath.py:16(exists)
   2195/4    0.001    0.000    1.602    0.400 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     6005    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
        3    0.001    0.000    5.756    1.919 main.py:1(<module>)
      115    0.001    0.000    0.006    0.000 decorator.py:171(make)
      188    0.001    0.000    0.004    0.000 pyparsing.py:4227(postParse)
     1202    0.001    0.000    0.001    0.000 __init__.py:2597(key)
       49    0.001    0.000    0.005    0.000 traceback.py:313(extract)
      111    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.empty}
      995    0.001    0.000    0.005    0.000 colors.py:119(to_rgba)
        4    0.001    0.000    0.057    0.014 base.py:2838(reindex)
      816    0.001    0.000    0.003    0.000 enum.py:795(__or__)
        1    0.001    0.001    0.011    0.011 delta.py:9(__init__)
      491    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
     3376    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      108    0.001    0.000    1.598    0.015 __init__.py:1(<module>)
      324    0.001    0.000    0.003    0.000 inspect.py:1777(_signature_bound_method)
      354    0.001    0.000    0.015    0.000 __init__.py:1483(get_metadata)
     1265    0.001    0.000    0.008    0.000 re.py:184(sub)
       10    0.001    0.000    0.001    0.000 decoder.py:345(raw_decode)
      723    0.001    0.000    0.001    0.000 traitlets.py:419(__init__)
      416    0.001    0.000    0.113    0.000 __init__.py:2021(find_on_path)
     1603    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      172    0.001    0.000    0.001    0.000 traitlets.py:742(setup_class)
     1503    0.001    0.000    0.001    0.000 common.py:1722(_get_dtype_type)
     1689    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:800(__init__)
     3006    0.001    0.000    0.001    0.000 version.py:244(<genexpr>)
     2699    0.001    0.000    0.001    0.000 inspect.py:159(isfunction)
       48    0.001    0.000    0.001    0.000 traitlets.py:1371(<listcomp>)
     1928    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      188    0.001    0.000    0.001    0.000 pyparsing.py:410(__delitem__)
      804    0.001    0.000    0.002    0.000 posixpath.py:119(splitext)
      438    0.001    0.000    0.001    0.000 function_base.py:2679(__init__)
      791    0.001    0.000    0.001    0.000 sre_parse.py:342(_escape)
      217    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
       60    0.001    0.000    0.001    0.000 function_base.py:25(linspace)
     3261    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      370    0.001    0.000    0.041    0.000 __init__.py:2510(_version_from_file)
      172    0.001    0.000    0.005    0.000 traitlets.py:722(__new__)
     2004    0.001    0.000    0.001    0.000 version.py:65(_compare)
     1799    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:780(find_spec)
       13    0.001    0.000    0.005    0.000 ops.py:45(_create_methods)
       45    0.001    0.000    0.001    0.000 traitlets.py:2275(__init__)
     1572    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
       35    0.001    0.000    0.001    0.000 textwrap.py:233(_wrap_chunks)
  378/190    0.001    0.000    0.005    0.000 pyparsing.py:3898(parseImpl)
      402    0.001    0.000    0.029    0.000 __init__.py:2016(<listcomp>)
      900    0.001    0.000    0.006    0.000 pyparsing.py:1144(copy)
     6256    0.001    0.000    0.001    0.000 inspect.py:2480(name)
      601    0.001    0.000    0.018    0.000 _decorators.py:183(__call__)
      900    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
       49    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
        4    0.001    0.000    0.012    0.003 subprocess.py:1208(_execute_child)
      217    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1310(<setcomp>)
       64    0.001    0.000    0.003    0.000 __init__.py:1877(get_metadata)
      278    0.001    0.000    0.015    0.000 __init__.py:2171(_handle_ns)
     2377    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      593    0.001    0.000    0.022    0.000 __init__.py:100(resource_exists)
      402    0.001    0.000    0.031    0.000 __init__.py:2010(_by_version)
     1122    0.001    0.000    0.002    0.000 pyparsing.py:621(__getattr__)
      402    0.001    0.000    0.012    0.000 __init__.py:2526(__init__)
     2720    0.001    0.000    0.001    0.000 inspect.py:73(isclass)
      642    0.001    0.000    0.010    0.000 __init__.py:1480(has_metadata)
     6326    0.001    0.000    0.001    0.000 inspect.py:2492(kind)
      394    0.001    0.000    0.003    0.000 artist.py:1073(get_valid_values)
       72    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
      353    0.001    0.000    0.076    0.000 sre_compile.py:542(_code)
      396    0.001    0.000    0.001    0.000 pyparsing.py:2772(parseImpl)
       39    0.001    0.000    0.003    0.000 __init__.py:1505(param)
     1799    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
     1430    0.001    0.000    0.002    0.000 colors.py:98(_is_nth_color)
      649    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
      798    0.001    0.000    0.002    0.000 pyparsing.py:1046(wrapper)
      944    0.001    0.000    0.001    0.000 pyparsing.py:2390(parseImpl)
      439    0.001    0.000    0.001    0.000 posixpath.py:142(basename)
      565    0.001    0.000    0.033    0.000 {built-in method builtins.next}
     1465    0.001    0.000    0.003    0.000 re.py:169(match)
      200    0.001    0.000    0.002    0.000 __init__.py:2769(insert_on)
     3568    0.001    0.000    0.001    0.000 pyparsing.py:294(__getitem__)
      288    0.001    0.000    0.002    0.000 abc.py:135(<setcomp>)
       11    0.001    0.000    0.001    0.000 artist.py:1056(<listcomp>)
      359    0.001    0.000    0.001    0.000 sre_parse.py:223(__init__)
      115    0.001    0.000    0.012    0.000 decorator.py:205(create)
      481    0.001    0.000    0.001    0.000 sre_parse.py:84(opengroup)
     1621    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      186    0.001    0.000    0.002    0.000 pyparsing.py:3424(parseImpl)
        6    0.001    0.000    0.001    0.000 datetimes.py:101(_dt_index_cmp)
      185    0.001    0.000    0.069    0.000 __init__.py:2372(__init__)
      370    0.000    0.000    0.043    0.000 __init__.py:2880(_reload_version)
     1350    0.000    0.000    0.000    0.000 pyparsing.py:483(haskeys)
      412    0.000    0.000    0.001    0.000 traitlets.py:651(tag)
       27    0.000    0.000    0.004    0.000 pluggy.py:341(register)
      903    0.000    0.000    0.001    0.000 dtypes.py:84(is_dtype)
      372    0.000    0.000    0.069    0.000 __init__.py:2970(parse_requirements)
        3    0.000    0.000    0.001    0.000 style.py:41(__new__)
     3525    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
      417    0.000    0.000    0.003    0.000 genericpath.py:39(isdir)
